Stock codes;Year;Publication date;PDF location in old library system;DOI
sol.27.4;2019;24/06/2019;https://www.ices.dk/sites/pub/Publication Reports/Advice/2019/2019/sol.27.4_replaced.pdf;https://doi.org/10.17895/ices.advice.4873
sol.27.4;2019;08/11/2019;https://www.ices.dk/sites/pub/Publication Reports/Advice/2019/2019/sol.27.4.pdf;https://doi.org/10.17895/ices.advice.5642
sol.27.4;2020;25/06/2020;https://www.ices.dk/sites/pub/Publication Reports/Advice/2020/2020/sol.27.4_replaced.pdf;https://doi.org/10.17895/ices.advice.5946
sol.27.4;2021;19/05/2021;https://www.ices.dk/sites/pub/Publication Reports/Advice/2020/2020/sol.27.4.pdf;https://doi.org/10.17895/ices.advice.8147
sol.27.4;2021;30/06/2021;https://www.ices.dk/sites/pub/Publication Reports/Advice/2021/2021/sol.27.4.pdf;https://doi.org/10.17895/ices.advice.7859
sol.27.7a;2018;29/06/2018;https://www.ices.dk/sites/pub/Publication Reports/Advice/2018/2018/sol.27.7a.pdf;https://doi.org/10.17895/ices.pub.4482
sol.27.7a;2019;27/06/2019;https://www.ices.dk/sites/pub/Publication Reports/Advice/2019/2019/sol.27.7a.pdf;https://doi.org/10.17895/ices.advice.4803
sol.27.7a;2020;29/06/2020;https://www.ices.dk/sites/pub/Publication Reports/Advice/2020/2020/sol.27.7a.pdf;https://doi.org/10.17895/ices.advice.5853
sol.27.7a;2021;30/06/2021;https://www.ices.dk/sites/pub/Publication Reports/Advice/2021/2021/sol.27.7a.pdf;https://doi.org/10.17895/ices.advice.7860
sol.27.7bc;2017;30/06/2017;https://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/sol.27.7bc.pdf;https://doi.org/10.17895/ices.pub.3231
sol.27.7bc;2020;29/06/2020;https://www.ices.dk/sites/pub/Publication Reports/Advice/2020/2020/sol.27.7bc.pdf;https://doi.org/10.17895/ices.advice.5768
sol.27.7d;2017;30/06/2017;https://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/sol.27.7d.pdf;https://doi.org/10.17895/ices.pub.3232
sol.27.7d;2018;29/06/2018;https://www.ices.dk/sites/pub/Publication Reports/Advice/2018/2018/sol.27.7d.pdf;https://doi.org/10.17895/ices.pub.4456
sol.27.7d;2019;08/11/2019;https://www.ices.dk/sites/pub/Publication Reports/Advice/2019/2019/sol.27.7d.pdf;https://doi.org/10.17895/ices.advice.4874
sol.27.7d;2020;25/06/2020;https://www.ices.dk/sites/pub/Publication Reports/Advice/2020/2020/sol.27.7d.pdf;https://doi.org/10.17895/ices.advice.5947
sol.27.7d;2021;30/06/2021;https://www.ices.dk/sites/pub/Publication Reports/Advice/2021/2021/sol.27.7d.pdf;https://doi.org/10.17895/ices.advice.7861
sol.27.7e;2017;30/06/2017;https://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/sol.27.7e.pdf;https://doi.org/10.17895/ices.pub.3233
sol.27.7e;2018;28/06/2018;https://www.ices.dk/sites/pub/Publication Reports/Advice/2018/2018/sol.27.7e.pdf;https://doi.org/10.17895/ices.pub.4448
sol.27.7e;2019;27/06/2019;https://www.ices.dk/sites/pub/Publication Reports/Advice/2019/2019/sol.27.7e.pdf;https://doi.org/10.17895/ices.advice.4804
sol.27.7e;2020;29/06/2020;https://www.ices.dk/sites/pub/Publication Reports/Advice/2020/2020/sol.27.7e.pdf;https://doi.org/10.17895/ices.advice.5852
sol.27.7e;2021;30/06/2021;https://www.ices.dk/sites/pub/Publication Reports/Advice/2021/2021/sol.27.7e.pdf;https://doi.org/10.17895/ices.advice.7862
sol.27.7fg;2017;30/06/2017;https://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/sol.27.7fg.pdf;https://doi.org/10.17895/ices.pub.3234
sol.27.7fg;2018;28/06/2018;https://www.ices.dk/sites/pub/Publication Reports/Advice/2018/2018/sol.27.7fg.pdf;https://doi.org/10.17895/ices.pub.4449
sol.27.7fg;2019;26/06/2019;https://www.ices.dk/sites/pub/Publication Reports/Advice/2019/2019/sol.27.7fg.pdf;https://doi.org/10.17895/ices.advice.4805
sol.27.7fg;2020;29/06/2020;https://www.ices.dk/sites/pub/Publication Reports/Advice/2020/2020/sol.27.7fg.pdf;https://doi.org/10.17895/ices.advice.5851
sol.27.7fg;2021;06/10/2021;https://www.ices.dk/sites/pub/Publication Reports/Advice/2021/2021/sol.27.7fg.pdf;https://doi.org/10.17895/ices.advice.8477
sol.27.7h-k;2017;30/06/2017;https://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/sol.27.7h-k.pdf;https://doi.org/10.17895/ices.pub.3235
sol.27.7h-k;2018;28/06/2018;https://www.ices.dk/sites/pub/Publication Reports/Advice/2018/2018/sol.27.7h-k.pdf;https://doi.org/10.17895/ices.pub.4450
sol.27.7h-k;2019;27/06/2019;https://www.ices.dk/sites/pub/Publication Reports/Advice/2019/2019/sol.27.7h-k.pdf;https://doi.org/10.17895/ices.advice.4806
sol.27.7h-k;2020;29/06/2020;https://www.ices.dk/sites/pub/Publication Reports/Advice/2020/2020/sol.27.7h-k.pdf;https://doi.org/10.17895/ices.advice.5849
sol.27.7h-k;2021;30/06/2021;https://www.ices.dk/sites/pub/Publication Reports/Advice/2021/2021/sol.27.7h-k.pdf;https://doi.org/10.17895/ices.advice.7864
sol.27.8ab;2017;30/06/2017;https://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/sol.27.8ab.pdf;https://doi.org/10.17895/ices.pub.3236
sol.27.8ab;2018;29/06/2018;https://www.ices.dk/sites/pub/Publication Reports/Advice/2018/2018/sol.27.8ab.pdf;https://doi.org/10.17895/ices.pub.4467
sol.27.8ab;2019;24/06/2019;https://www.ices.dk/sites/pub/Publication Reports/Advice/2019/2019/sol.27.8ab.pdf;https://doi.org/10.17895/ices.advice.4775
sol.27.8ab;2020;29/06/2020;https://www.ices.dk/sites/pub/Publication Reports/Advice/2020/2020/sol.27.8ab.pdf;https://doi.org/10.17895/ices.advice.5850
sol.27.8ab;2021;30/06/2021;https://www.ices.dk/sites/pub/Publication Reports/Advice/2021/2021/sol.27.8ab.pdf;https://doi.org/10.17895/ices.advice.7865
sol.27.8ab;2021;10/12/2021;https://www.ices.dk/sites/pub/Publication Reports/Advice/2021/2021/sol.27.8ab.pdf;https://doi.org/10.17895/ices.advice.9443
sol.27.8c9a;2017;30/06/2017;https://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/sol.27.8c9a.pdf;https://doi.org/10.17895/ices.pub.3254
sol.27.8c9a;2019;24/06/2019;https://www.ices.dk/sites/pub/Publication Reports/Advice/2019/2019/sol.27.8c9a.pdf;https://doi.org/10.17895/ices.advice.4776
sol.27.8c9a;2021;04/10/2021;https://www.ices.dk/sites/pub/Publication Reports/Advice/2021/2021/sol.27.8c9a.pdf;https://doi.org/10.17895/ices.advice.8528
spr.27.22-32;2017;31/05/2017;https://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/spr.27.22-32.pdf;https://doi.org/10.17895/ices.pub.3255
spr.27.22-32;2018;29/05/2018;https://www.ices.dk/sites/pub/Publication Reports/Advice/2018/2018/spr.27.22-32.pdf;https://doi.org/10.17895/ices.pub.4375
spr.27.22-32;2019;29/05/2019;https://www.ices.dk/sites/pub/Publication Reports/Advice/2019/2019/spr.27.22-32.pdf;https://doi.org/10.17895/ices.advice.4754
spr.27.22-32;2020;29/05/2020;https://www.ices.dk/sites/pub/Publication Reports/Advice/2020/2020/spr.27.22-32.pdf;https://doi.org/10.17895/ices.advice.5879
spr.27.22-32;2021;28/05/2021;https://www.ices.dk/sites/pub/Publication Reports/Advice/2021/2021/spr.27.22-32.pdf;https://doi.org/10.17895/ices.advice.7867
spr.27.3a;2017;07/04/2017;https://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/spr.27.3a.pdf;https://doi.org/10.17895/ices.pub.3256
spr.27.3a;2018;12/04/2018;https://www.ices.dk/sites/pub/Publication Reports/Advice/2018/2018/spr.27.3a.pdf;https://doi.org/10.17895/ices.pub.4258
spr.27.3a4;2019;12/04/2019;https://www.ices.dk/sites/pub/Publication Reports/Advice/2019/2019/spr.27.3a4.pdf;https://doi.org/10.17895/ices.advice.4727
spr.27.3a4;2020;14/04/2020;https://www.ices.dk/sites/pub/Publication Reports/Advice/2020/2020/spr.27.3a4.pdf;https://doi.org/10.17895/ices.advice.6002
spr.27.3a4;2021;13/04/2021;https://www.ices.dk/sites/pub/Publication Reports/Advice/2021/2021/spr.27.3a4.pdf;https://doi.org/10.17895/ices.advice.7868
spr.27.4;2017;07/04/2017;https://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/spr.27.4.pdf;https://doi.org/10.17895/ices.pub.3257
spr.27.4;2018;12/04/2018;https://www.ices.dk/sites/pub/Publication Reports/Advice/2018/2018/spr.27.4.pdf;https://doi.org/10.17895/ices.pub.4257
spr.27.67a-cf-k;2019;26/06/2019;https://www.ices.dk/sites/pub/Publication Reports/Advice/2019/2019/spr.27.67a-cf-k.pdf;https://doi.org/10.17895/ices.advice.4728
spr.27.7de;2017;30/06/2017;https://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/spr.27.7de.pdf;https://doi.org/10.17895/ices.pub.3259
spr.27.7de;2018;29/06/2018;https://www.ices.dk/sites/pub/Publication Reports/Advice/2018/2018/spr.27.7de.pdf;https://doi.org/10.17895/ices.pub.4485
spr.27.7de;2019;26/06/2019;https://www.ices.dk/sites/pub/Publication Reports/Advice/2019/2019/spr.27.7de.pdf;https://doi.org/10.17895/ices.advice.4729
spr.27.7de;2020;29/06/2020;https://www.ices.dk/sites/pub/Publication Reports/Advice/2020/2020/spr.27.7de.pdf;https://doi.org/10.17895/ices.advice.5937
spr.27.a-cf-k;2017;30/06/2017;https://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/spr.27.a-cf-k.pdf;https://doi.org/10.17895/ices.pub.3258
syc.27.3a47d;2017;06/10/2017;https://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/syc.27.3a47d.pdf;https://doi.org/10.17895/ices.pub.3190
syc.27.3a47d;2019;04/10/2019;https://www.ices.dk/sites/pub/Publication Reports/Advice/2019/2019/syc.27.3a47d.pdf;https://doi.org/10.17895/ices.pub.4846
syc.27.3a47d;2021;01/10/2021;https://www.ices.dk/sites/pub/Publication Reports/Advice/2021/2021/syc.27.3a47d.pdf;https://doi.org/10.17895/ices.pub.7871
syc.27.67a-ce-j;2017;05/10/2017;https://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/syc.27.67a-ce-j.pdf;https://doi.org/10.17895/ices.pub.3179
syc.27.67a-ce-j;2019;04/10/2019;https://www.ices.dk/sites/pub/Publication Reports/Advice/2019/2019/syc.27.67a-ce-j.pdf;https://doi.org/10.17895/ices.advice.4847
syc.27.67a-ce-j;2021;01/10/2021;https://www.ices.dk/sites/pub/Publication Reports/Advice/2021/2021/syc.27.67a-ce-j.pdf;https://doi.org/10.17895/ices.advice.7872
syc.27.8abd;2017;06/10/2017;https://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/syc.27.8abd.pdf;https://doi.org/10.17895/ices.pub.3173
syc.27.8abd;2019;08/10/2019;https://www.ices.dk/sites/pub/Publication Reports/Advice/2019/2019/syc.27.8abd.pdf;https://doi.org/10.17895/ices.advice.4848
syc.27.8abd;2021;01/10/2021;https://www.ices.dk/sites/pub/Publication Reports/Advice/2021/2021/syc.27.8abd.pdf;https://doi.org/10.17895/ices.advice.7873
syc.27.8c9a;2017;06/10/2017;https://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/syc.27.8c9a.pdf;https://doi.org/10.17895/ices.pub.3171
syc.27.8c9a;2019;08/10/2019;https://www.ices.dk/sites/pub/Publication Reports/Advice/2019/2019/syc.27.8c9a.pdf;https://doi.org/10.17895/ices.advice.4849
syc.27.8c9a;2021;01/10/2021;https://www.ices.dk/sites/pub/Publication Reports/Advice/2021/2021/syc.27.8c9a.pdf;https://doi.org/10.17895/ices.advice.7874
syt.27.67;2017;05/10/2017;https://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/syt.27.67.pdf;https://doi.org/10.17895/ices.pub.3180
syt.27.67;2019;04/10/2019;https://www.ices.dk/sites/pub/Publication Reports/Advice/2019/2019/syt.27.67.pdf;https://doi.org/10.17895/ices.advice.4850
syt.27.67;2021;01/10/2021;https://www.ices.dk/sites/pub/Publication Reports/Advice/2021/2021/syt.27.67.pdf;https://doi.org/10.17895/ices.advice.7875
thr.27.nea;2019;04/10/2019;https://www.ices.dk/sites/pub/Publication Reports/Advice/2019/2019/thr.27.nea.pdf;https://doi.org/10.17895/ices.advice.4851
trs.27.22-32;2017;31/05/2017;https://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/trs.27.22-32.pdf;https://doi.org/10.17895/ices.pub.3271
trs.27.22-32;2019;28/05/2019;https://www.ices.dk/sites/pub/Publication Reports/Advice/2019/2019/trs.27.22-32.pdf;https://doi.org/10.17895/ices.advice.4744
trs.27.22-32;2021;28/05/2021;https://www.ices.dk/sites/pub/Publication Reports/Advice/2021/2021/trs.27.22-32.pdf;https://doi.org/10.17895/ices.advice.7876
tsu.27.nea;2020;11/06/2020;https://www.ices.dk/sites/pub/Publication Reports/Advice/2020/2020/tsu.27.nea.pdf;https://doi.org/10.17895/ices.advice.5766
tur.27.22-32;2017;31/05/2017;https://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/tur.27.22-32.pdf;https://doi.org/10.17895/ices.pub.3261
tur.27.22-32;2018;29/05/2018;https://www.ices.dk/sites/pub/Publication Reports/Advice/2018/2018/tur.27.22-32.pdf;https://doi.org/10.17895/ices.pub.4376
tur.27.22-32;2021;28/05/2021;https://www.ices.dk/sites/pub/Publication Reports/Advice/2021/2021/tur.27.22-32.pdf;https://doi.org/10.17895/ices.advice.7877
tur.27.3a;2017;30/06/2017;https://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/tur.27.3a.pdf;https://doi.org/10.17895/ices.pub.3262
tur.27.3a;2019;24/06/2019;https://www.ices.dk/sites/pub/Publication Reports/Advice/2019/2019/tur.27.3a.pdf;https://doi.org/10.17895/ices.advice.4875
tur.27.3a;2020;25/06/2020;https://www.ices.dk/sites/pub/Publication Reports/Advice/2020/2020/tur.27.3a.pdf;https://doi.org/10.17895/ices.advice.6102
tur.27.3a;2021;30/06/2021;https://www.ices.dk/sites/pub/Publication Reports/Advice/2021/2021/tur.27.3a.pdf;https://doi.org/10.17895/ices.advice.7878
tur.27.4;2017;14/11/2017;https://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/tur.27.4_replaced.pdf;https://doi.org/10.17895/ices.pub.3531
tur.27.4;2019;24/06/2019;https://www.ices.dk/sites/pub/Publication Reports/Advice/2019/2019/tur.27.4.pdf;https://doi.org/10.17895/ices.advice.4876
tur.27.4;2020;25/06/2020;https://www.ices.dk/sites/pub/Publication Reports/Advice/2020/2020/tur.27.4.pdf;https://doi.org/10.17895/ices.advice.5914
tur-nsea;2021;30/06/2021;https://www.ices.dk/sites/pub/Publication Reports/Advice/2021/2021/tur.27.4.pdf;https://doi.org/10.17895/ices.advice.7879
usk.27.1-2;2017;07/06/2017;https://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/usk.27.1-2.pdf;https://doi.org/10.17895/ices.pub.3263
usk.27.1-2;2019;11/06/2019;https://www.ices.dk/sites/pub/Publication Reports/Advice/2019/2019/usk.27.1-2.pdf;https://doi.org/10.17895/ices.advice.4821
usk.27.1-2;2021;10/06/2021;https://www.ices.dk/sites/pub/Publication Reports/Advice/2021/2021/usk.27.1-2.pdf;https://doi.org/10.17895/ices.advice.7880
usk.27.12ac;2017;07/06/2017;https://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/usk.27.12ac.pdf;https://doi.org/10.17895/ices.pub.3264
usk.27.12ac;2019;11/06/2019;https://www.ices.dk/sites/pub/Publication Reports/Advice/2019/2019/usk.27.12ac.pdf;https://doi.org/10.17895/ices.advice.4822
usk.27.3a45b6a7-912b;2017;07/06/2017;https://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/usk.27.3a45b6a7-912b.pdf;https://doi.org/10.17895/ices.pub.3265
usk.27.3a45b6a7-912b;2019;11/06/2019;https://www.ices.dk/sites/pub/Publication Reports/Advice/2019/2019/usk.27.3a45b6a7-912b.pdf;https://doi.org/10.17895/ices.advice.4823
usk.27.3a45b6a7-912b;2021;10/06/2021;https://www.ices.dk/sites/pub/Publication Reports/Advice/2021/2021/usk.27.3a45b6a7-912b.pdf;https://doi.org/10.17895/ices.advice.7881
usk.27.5a14;2017;07/06/2017;https://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/usk.27.5a14.pdf;https://doi.org/10.17895/ices.pub.3266
usk.27.5a14;2018;12/06/2018;https://www.ices.dk/sites/pub/Publication Reports/Advice/2018/2018/usk.27.5a14.pdf;https://doi.org/10.17895/ices.pub.4405
usk.27.5a14;2019;13/06/2019;https://www.ices.dk/sites/pub/Publication Reports/Advice/2019/2019/usk.27.5a14.pdf;https://doi.org/10.17895/ices.advice.4824
usk.27.6b;2018;07/06/2018;https://www.ices.dk/sites/pub/Publication Reports/Advice/2018/2018/usk.27.6b.pdf;https://doi.org/10.17895/ices.pub.4399
usk.27.6b;2020;10/06/2020;https://www.ices.dk/sites/pub/Publication Reports/Advice/2020/2020/usk.27.6b.pdf;https://doi.org/10.17895/ices.advice.5808
whb.27.1-91214;2017;29/09/2017;https://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/whb.27.1-91214.pdf;https://doi.org/10.17895/ices.pub.3030
whb.27.1-91214;2018;28/09/2018;https://www.ices.dk/sites/pub/Publication Reports/Advice/2018/2018/whb.27.1-91214.pdf;https://doi.org/10.17895/ices.pub.4536
whb.27.1-91214;2019;01/10/2019;https://www.ices.dk/sites/pub/Publication Reports/Advice/2019/2019/whb.27.1-91214.pdf;https://doi.org/10.17895/ices.advice.4886
whb.27.1-91214;2020;30/09/2020;https://www.ices.dk/sites/pub/Publication Reports/Advice/2020/2020/whb.27.1-91214.pdf;https://doi.org/10.17895/ices.advice.5881
whb.27.1-91214;2021;30/09/2021;https://www.ices.dk/sites/pub/Publication Reports/Advice/2021/2021/whb.27.1-91214.pdf;https://doi.org/10.17895/ices.advice.7883
whg.27.3a;2017;03/03/2017;https://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/whg.27.3a.pdf;https://doi.org/10.17895/ices.pub.3267
whg.27.3a;2019;03/03/2019;https://www.ices.dk/sites/pub/Publication Reports/Advice/2019/2019/whg.27.3a.pdf;https://doi.org/10.17895/ices.advice.4877
whg.27.3a;2020;03/03/2020;https://www.ices.dk/sites/pub/Publication Reports/Advice/2020/2020/whg.27.3a.pdf;https://doi.org/10.17895/ices.advice.6103
whg.27.47d;2017;03/03/2017;https://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/whg.27.47d.pdf;https://doi.org/10.17895/ices.pub.3050
whg.27.47d;2017;03/03/2017;https://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/whg.27.47d_replaced.pdf;https://doi.org/10.17895/ices.pub.3530
whg.27.47d;2018;03/03/2018;https://www.ices.dk/sites/pub/Publication Reports/Advice/2018/2018/whg.27.47d.pdf;https://doi.org/10.17895/ices.pub.4471
whg.27.47d;2018;03/03/2018;https://www.ices.dk/sites/pub/Publication Reports/Advice/2018/2018/whg.27.47d_replaced.pdf;https://doi.org/10.17895/ices.pub.4617
whg.27.47d;2019;03/03/2019;https://www.ices.dk/sites/pub/Publication Reports/Advice/2019/2019/whg.27.47d.pdf;https://doi.org/10.17895/ices.advice.4878
whg.27.47d;2020;03/03/2020;https://www.ices.dk/sites/pub/Publication Reports/Advice/2020/2020/whg.27.47d.pdf;https://doi.org/10.17895/ices.advice.5935
whg.27.47d;2021;30/06/2021;https://www.ices.dk/sites/pub/Publication Reports/Advice/2021/2021/whg.27.47d.pdf;https://doi.org/10.17895/ices.advice.7885
whg.27.6a;2018;03/03/2018;https://www.ices.dk/sites/pub/Publication Reports/Advice/2018/2018/whg.27.6a.pdf;https://doi.org/10.17895/ices.pub.4484
whg.27.6a;2020;03/03/2020;https://www.ices.dk/sites/pub/Publication Reports/Advice/2020/2020/whg.27.6a.pdf;https://doi.org/10.17895/ices.advice.5824
whg.27.6a;2021;30/06/2021;https://www.ices.dk/sites/pub/Publication Reports/Advice/2021/2021/whg.27.6a.pdf;https://doi.org/10.17895/ices.advice.8220
whg.27.6b;2018;03/03/2018;https://www.ices.dk/sites/pub/Publication Reports/Advice/2018/2018/whg.27.6b.pdf;https://doi.org/10.17895/ices.pub.4486
whg.27.6b;2021;30/06/2021;https://www.ices.dk/sites/pub/Publication Reports/Advice/2021/2021/whg.27.6b.pdf;https://doi.org/10.17895/ices.advice.7886
whg.27.7a;2018;03/03/2018;https://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/whg.27.7a.pdf;https://doi.org/10.17895/ices.pub.3268
whg.27.7a;2019;03/03/2019;https://www.ices.dk/sites/pub/Publication Reports/Advice/2019/2019/whg.27.7a.pdf;https://doi.org/10.17895/ices.advice.5224
whg.27.7a;2021;30/06/2021;https://www.ices.dk/sites/pub/Publication Reports/Advice/2021/2021/whg.27.7a.pdf;https://doi.org/10.17895/ices.advice.7887
whg.27.7b-ce-k;2017;30/10/2017;https://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/whg.27.7b-ce-k.pdf;https://doi.org/10.17895/ices.pub.3269
whg.27.7b-ce-k;2018;30/10/2018;https://www.ices.dk/sites/pub/Publication Reports/Advice/2018/2018/whg.27.7b-ce-k.pdf;https://doi.org/10.17895/ices.pub.4487
whg.27.7b-ce-k;2019;30/10/2019;https://www.ices.dk/sites/pub/Publication Reports/Advice/2019/2019/whg.27.7b-ce-k.pdf;https://doi.org/10.17895/ices.advice.4807
whg.27.7b-ce-k;2021;29/10/2021;https://www.ices.dk/sites/pub/Publication Reports/Advice/2021/2021/whg.27.7b-ce-k.pdf;https://doi.org/10.17895/ices.advice.7888
whg.27.7b-ce-k;2021;16/12/2021;https://www.ices.dk/sites/pub/Publication Reports/Advice/2020/2020/whg.27.7b-ce-k.pdf;https://doi.org/10.17895/ices.advice.9576
whg.27.89a;2017;03/03/2017;https://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/whg.27.89a.pdf;https://doi.org/10.17895/ices.pub.3270
whg.27.89a;2019;03/03/2019;https://www.ices.dk/sites/pub/Publication Reports/Advice/2019/2019/whg.27.89a.pdf;https://doi.org/10.17895/ices.advice.4777
whg.27.89a;2021;30/06/2021;https://www.ices.dk/sites/pub/Publication Reports/Advice/2021/2021/whg.27.89a.pdf;https://doi.org/10.17895/ices.advice.7889
wit.27.3a47d;2017;25/06/2017;https://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/wit.27.3a47d.pdf;https://doi.org/10.17895/ices.pub.3051
wit.27.3a47d;2019;25/06/2019;https://www.ices.dk/sites/pub/Publication Reports/Advice/2019/2019/wit.27.3a47d.pdf;https://doi.org/10.17895/ices.advice.4879
wit.27.3a47d;2020;25/06/2020;https://www.ices.dk/sites/pub/Publication Reports/Advice/2020/2020/wit.27.3a47d.pdf;https://doi.org/10.17895/ices.advice.5936
wit.27.3a47d;2021;30/09/2021;https://www.ices.dk/sites/pub/Publication Reports/Advice/2021/2021/wit.27.3a47d.pdf;https://doi.org/10.17895/ices.advice.7890
