Stock codes;Year;Publication date;PDF location in old library system;DOI
rjn.27.3a4;2019;04/10/2019;https://www.ices.dk/sites/pub/Publication Reports/Advice/2019/2019/rjn.27.3a4.pdf;https://doi.org/10.17895/ices.advice.4840
rjn.27.3a4;2021;01/10/2021;https://www.ices.dk/sites/pub/Publication%20Reports/Advice/2021/2021/rjn.27.3a4.pdf;https://doi.org/10.17895/ices.advice.7847
rjn.27.678abd;2018;31/10/2018;https://www.ices.dk/sites/pub/Publication Reports/Advice/2018/2018/rjn.27.678abd.pdf;https://doi.org/10.17895/ices.pub.4580
rjn.27.678abd;2020;01/10/2020;https://www.ices.dk/sites/pub/Publication Reports/Advice/2020/2020/rjn.27.678abd.pdf;https://doi.org/10.17895/ices.advice.5817
rjn.27.8c;2018;31/10/2018;https://www.ices.dk/sites/pub/Publication Reports/Advice/2018/2018/rjn.27.8c.pdf;https://doi.org/10.17895/ices.pub.4582
rjn.27.8c;2020;01/10/2020;https://www.ices.dk/sites/pub/Publication Reports/Advice/2020/2020/rjn.27.8c.pdf;https://doi.org/10.17895/ices.advice.5818
rjn.27.9a;2018;31/10/2018;https://www.ices.dk/sites/pub/Publication Reports/Advice/2018/2018/rjn.27.9a.pdf;https://doi.org/10.17895/ices.pub.4581
rjn.27.9a;2020;01/10/2020;https://www.ices.dk/sites/pub/Publication Reports/Advice/2020/2020/rjn.27.9a.pdf;https://doi.org/10.17895/ices.advice.5798
rjr.27.23a4;2019;04/10/2019;https://www.ices.dk/sites/pub/Publication Reports/Advice/2019/2019/rjr.27.23a4.pdf;https://doi.org/10.17895/ices.advice.4841
rju.27.7bj;2018;05/10/2018;https://www.ices.dk/sites/pub/Publication Reports/Advice/2018/2018/rju.27.7bj.pdf;https://doi.org/10.17895/ices.pub.4546
rju.27.7bj;2020;01/10/2020;https://www.ices.dk/sites/pub/Publication Reports/Advice/2020/2020/rju.27.7bj.pdf;https://doi.org/10.17895/ices.advice.5814
rju.27.7de;2018;13/07/2018;https://www.ices.dk/sites/pub/Publication Reports/Advice/2018/2018/rju.27.7de.pdf;https://doi.org/10.17895/ices.pub.4501
rju.27.7de;2020;01/10/2020;https://www.ices.dk/sites/pub/Publication Reports/Advice/2020/2020/rju.27.7de.pdf;https://doi.org/10.17895/ices.advice.5799
rju.27.8ab;2018;13/07/2018;https://www.ices.dk/sites/pub/Publication Reports/Advice/2018/2018/rju.27.8ab.pdf;https://doi.org/10.17895/ices.pub.4502
rju.27.8ab;2020;01/10/2020;https://www.ices.dk/sites/pub/Publication Reports/Advice/2020/2020/rju.27.8ab.pdf;https://doi.org/10.17895/ices.advice.5809
rju.27.8c;2018;05/10/2018;https://www.ices.dk/sites/pub/Publication Reports/Advice/2018/2018/rju.27.8c.pdf;https://doi.org/10.17895/ices.pub.4561
rju.27.8c;2020;01/10/2020;https://www.ices.dk/sites/pub/Publication Reports/Advice/2020/2020/rju.27.8c.pdf;https://doi.org/10.17895/ices.advice.5810
rju.27.9a;2018;05/10/2018;https://www.ices.dk/sites/pub/Publication Reports/Advice/2018/2018/rju.27.9a.pdf;https://doi.org/10.17895/ices.pub.4555
rju.27.9a;2020;01/10/2020;https://www.ices.dk/sites/pub/Publication Reports/Advice/2020/2020/rju.27.9a.pdf;https://doi.org/10.17895/ices.advice.5811
rng.27.1245a8914ab;2017;07/06/2017;https://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/rng.27.1245a8914ab.pdf;https://doi.org/10.17895/ices.pub.3217
rng.27.1245a8914ab;2019;11/06/2019;https://www.ices.dk/sites/pub/Publication Reports/Advice/2019/2019/rng.27.1245a8914ab.pdf;https://doi.org/10.17895/ices.advice.4818
rng.27.3a;2018;07/06/2018;https://www.ices.dk/sites/pub/Publication Reports/Advice/2018/2018/rng.27.3a.pdf;https://doi.org/10.17895/ices.pub.4396
rng.27.3a;2020;10/06/2020;https://www.ices.dk/sites/pub/Publication Reports/Advice/2020/2020/rng.27.3a.pdf;https://doi.org/10.17895/ices.advice.5801
rng.27.5a10b12ac14b;2017;07/06/2017;https://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/rng.27.5a10b12ac14b.pdf;https://doi.org/10.17895/ices.pub.3218
rng.27.5a10b12ac14b;2019;11/06/2019;https://www.ices.dk/sites/pub/Publication Reports/Advice/2019/2019/rng.27.5a10b12ac14b.pdf;https://doi.org/10.17895/ices.advice.4819
rng.27.5b6712b;2018;07/06/2018;https://www.ices.dk/sites/pub/Publication Reports/Advice/2018/2018/rng.27.5b6712b.pdf;https://doi.org/10.17895/ices.pub.4397
rng.27.5b6712b;2020;10/06/2020;https://www.ices.dk/sites/pub/Publication Reports/Advice/2020/2020/rng.27.5b6712b.pdf;https://doi.org/10.17895/ices.advice.5800
sal.21.nac;2017;05/05/2017;https://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/sal.21.nac.pdf;https://doi.org/10.17895/ices.pub.3219
sal.21.nac;2018;04/05/2018;https://www.ices.dk/sites/pub/Publication Reports/Advice/2018/2018/sal.21.nac.pdf;https://doi.org/10.17895/ices.pub.4336
sal.2127.wgc;2017;05/05/2017;https://www.ices.dk/sites/pub/Publication Reports/Advice/2021/2021/sal.2127.wgc;https://doi.org/10.17895/ices.pub.3220
sal.2127.wgc;2018;04/05/2018;https://www.ices.dk/sites/pub/Publication Reports/Advice/2021/2021/sal.2127.wgc;https://doi.org/10.17895/ices.pub.4337
sal.27.22-31;2017;31/05/2017;https://www.ices.dk/sites/pub/Publication Reports/Advice/2017/2017/sal.27.22-31.pdf;https://doi.org/10.17895/ices.pub.3221
