fishstock,AssessmentYear,Year,recruitment,high_recruitment,low_recruitment,low_SSB,SSB,high_SSB,catches,landings,discards,low_F,F,high_F,StockPublishNote,Purpose,Fage,recruitment_age,units,stockSizeDescription,stockSizeUnits,fishingPressureDescription,fishingPressureUnits
agn.27.nea,2015,1973,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,Stock published,Advice,NA,NA,tonnes,SSB,tonnes,F,Year-1
agn.27.nea,2015,1974,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,Stock published,Advice,NA,NA,tonnes,SSB,tonnes,F,Year-1
agn.27.nea,2015,1975,NA,NA,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,Stock published,Advice,NA,NA,tonnes,SSB,tonnes,F,Year-1
agn.27.nea,2015,1976,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,Stock published,Advice,NA,NA,tonnes,SSB,tonnes,F,Year-1
agn.27.nea,2015,1977,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,NA,NA,Stock published,Advice,NA,NA,tonnes,SSB,tonnes,F,Year-1
agn.27.nea,2015,1978,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,Stock published,Advice,NA,NA,tonnes,SSB,tonnes,F,Year-1
agn.27.nea,2015,1979,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,Stock published,Advice,NA,NA,tonnes,SSB,tonnes,F,Year-1
agn.27.nea,2015,1980,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,Stock published,Advice,NA,NA,tonnes,SSB,tonnes,F,Year-1
agn.27.nea,2015,1981,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,Stock published,Advice,NA,NA,tonnes,SSB,tonnes,F,Year-1
agn.27.nea,2015,1982,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,Stock published,Advice,NA,NA,tonnes,SSB,tonnes,F,Year-1
agn.27.nea,2015,1983,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,Stock published,Advice,NA,NA,tonnes,SSB,tonnes,F,Year-1
agn.27.nea,2015,1984,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,Stock published,Advice,NA,NA,tonnes,SSB,tonnes,F,Year-1
agn.27.nea,2015,1985,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,Stock published,Advice,NA,NA,tonnes,SSB,tonnes,F,Year-1
agn.27.nea,2015,1986,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,Stock published,Advice,NA,NA,tonnes,SSB,tonnes,F,Year-1
agn.27.nea,2015,1987,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,Stock published,Advice,NA,NA,tonnes,SSB,tonnes,F,Year-1
agn.27.nea,2015,1988,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,Stock published,Advice,NA,NA,tonnes,SSB,tonnes,F,Year-1
agn.27.nea,2015,1989,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,Stock published,Advice,NA,NA,tonnes,SSB,tonnes,F,Year-1
agn.27.nea,2015,1990,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,Stock published,Advice,NA,NA,tonnes,SSB,tonnes,F,Year-1
agn.27.nea,2015,1991,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,Stock published,Advice,NA,NA,tonnes,SSB,tonnes,F,Year-1
agn.27.nea,2015,1992,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Stock published,Advice,NA,NA,tonnes,SSB,tonnes,F,Year-1
agn.27.nea,2015,1993,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Stock published,Advice,NA,NA,tonnes,SSB,tonnes,F,Year-1
agn.27.nea,2015,1994,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Stock published,Advice,NA,NA,tonnes,SSB,tonnes,F,Year-1
agn.27.nea,2015,1995,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,Stock published,Advice,NA,NA,tonnes,SSB,tonnes,F,Year-1
agn.27.nea,2015,1996,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Stock published,Advice,NA,NA,tonnes,SSB,tonnes,F,Year-1
agn.27.nea,2015,1997,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,Stock published,Advice,NA,NA,tonnes,SSB,tonnes,F,Year-1
agn.27.nea,2015,1998,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Stock published,Advice,NA,NA,tonnes,SSB,tonnes,F,Year-1
agn.27.nea,2015,1999,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Stock published,Advice,NA,NA,tonnes,SSB,tonnes,F,Year-1
agn.27.nea,2015,2000,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Stock published,Advice,NA,NA,tonnes,SSB,tonnes,F,Year-1
agn.27.nea,2015,2001,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Stock published,Advice,NA,NA,tonnes,SSB,tonnes,F,Year-1
agn.27.nea,2015,2002,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Stock published,Advice,NA,NA,tonnes,SSB,tonnes,F,Year-1
agn.27.nea,2015,2003,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Stock published,Advice,NA,NA,tonnes,SSB,tonnes,F,Year-1
agn.27.nea,2015,2004,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Stock published,Advice,NA,NA,tonnes,SSB,tonnes,F,Year-1
agn.27.nea,2015,2005,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,Stock published,Advice,NA,NA,tonnes,SSB,tonnes,F,Year-1
agn.27.nea,2015,2006,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Stock published,Advice,NA,NA,tonnes,SSB,tonnes,F,Year-1
agn.27.nea,2015,2007,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Stock published,Advice,NA,NA,tonnes,SSB,tonnes,F,Year-1
agn.27.nea,2015,2008,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Stock published,Advice,NA,NA,tonnes,SSB,tonnes,F,Year-1
