StockKeyLabel,AssessmentYear,AssessmentKey,StockDatabaseID,StockKey,FLim,Fpa,Bpa,Blim,FMSY,MSYBtrigger,Fmanagement,Bmanagement,RecruitmentAge,RecruitmentLength
her.27.1-24a514a,2020,13883,2503,169123,0.291,0.227,3184000,2500000,0.157,3184000,NA,NA,2,NA
her.27.20-24,2020,13313,2635,169118,0.45,0.35,150000,120000,0.31,150000,NA,NA,0,NA
her.27.25-2932,2020,13344,2396,169115,0.59,0.43,460000,330000,0.21,460000,NA,NA,1,NA
her.27.28,2020,13351,2504,169124,0.88,0.63,57100,40800,0.32,60000,NA,NA,1,NA
her.27.3031,2020,13375,2602,169673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
her.27.3031,2020,14586,2602,169673,0.496,0.272,533515,376571,0.271,533515,NA,NA,0,NA
her.27.3a47d,2020,13422,2636,169119,0.34,0.3,9e+05,8e+05,0.26,1400000,NA,NA,0,NA
her.27.5a,2019,12899,2154,169125,0.61,0.45,NA,NA,0.22,NA,NA,NA,3,NA
her.27.6a7bc,2020,13329,2657,169120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
her.27.irls,2020,13746,2634,169121,0.45,0.27,54000,34000,0.26,54000,NA,NA,1,NA
her.27.nirs,2020,13330,2624,169122,0.397,0.286,11831,8500,0.266,11831,NA,NA,1,NA
hke.27.3a46-8abd,2020,14565,2658,169126,0.84,0.6,56000,40000,0.26,56000,NA,NA,0,NA
hke.27.8c9a,2020,13760,2560,169127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hom.27.2a4a5b6a7a-ce-k8,2020,13894,2609,169130,0.103,0.074,1168272,834480,0.074,1168272,NA,NA,0,NA
hom.27.3a4bc7d,2019,13147,2351,169128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hom.27.9a,2020,13738,2604,169129,0.19,0.11,181000,103000,0.11,181000,NA,NA,0,NA
jaa.27.10a2,2020,14047,2397,169131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ldb.27.7b-k8abd,2020,13736,2615,169785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ldb.27.8c9a,2020,13594,2482,169140,0.57,0.41,4600,3300,0.193,4600,NA,NA,0,NA
lem.27.3a47d,2020,13498,2646,169132,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
lez.27.4a6a,2020,13757,2480,169138,NA,NA,0.5,0.3,1,0.5,NA,NA,NA,NA
lez.27.6b,2020,14009,2481,169139,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
lin.27.1-2,2019,12907,2125,169133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lin.27.3a4a6-91214,2019,12911,2128,169136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lin.27.5a,2019,12664,2127,169135,NA,NA,9930,7090,NA,9930,NA,NA,3,NA
lin.27.5b,2019,12728,2126,169134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mac.27.nea,2020,13884,2608,169137,0.46,0.36,2580000,2e+06,0.26,2580000,NA,NA,0,NA
meg.27.7b-k8abd,2020,13602,2483,169141,0.53,0.45,41800,37000,0.191,41800,NA,NA,1,NA
meg.27.8c9a,2020,13597,2484,169142,0.45,0.32,980,700,0.191,980,NA,NA,1,NA
mon.27.78abd,2020,13867,2629,195876,0.53,0.36,22278,16032,0.28,22278,NA,NA,0,NA
mon.27.8c9a,2020,13629,2628,169056,0.56,0.4,2769,1993,0.24,6283,NA,NA,0,NA
mur.27.3a47d,2019,12936,2283,169143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mur.27.67a-ce-k89a,2020,13887,2549,169144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nep.27.4outFU,2020,13964,2591,169171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nep.27.6aoutFU,2020,13942,2592,169172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nep.27.7outFU,2020,13927,2593,169173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nep.fu.10,2020,13994,2485,169145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nep.fu.11,2020,13915,2486,169146,NA,NA,NA,NA,10.8,540,NA,NA,NA,NA
nep.fu.12,2020,13903,2487,169147,NA,NA,NA,NA,11.7,1020,NA,NA,NA,NA
nep.fu.13,2020,13990,2488,169148,NA,NA,NA,NA,15.1,580,NA,NA,NA,NA
nep.fu.14,2020,13953,2489,169149,NA,11,350,NA,11,350,NA,NA,NA,NA
nep.fu.15,2020,13923,2490,169150,NA,NA,NA,NA,18.2,3000,NA,NA,NA,NA
nep.fu.16,2020,13909,2491,169151,NA,NA,NA,NA,6.2,NA,NA,NA,NA,NA
nep.fu.17,2020,13905,2492,169152,NA,NA,NA,NA,8.5,540,NA,NA,NA,NA
nep.fu.19,2020,14024,2493,169153,NA,NA,NA,NA,9.3,430,NA,NA,NA,NA
nep.fu.2021,2020,13914,2614,169154,NA,NA,NA,NA,6,NA,NA,NA,NA,NA
nep.fu.22,2020,13911,2439,169155,NA,NA,NA,NA,12.8,990,NA,NA,NA,NA
nep.fu.2324,2020,13960,2440,169156,NA,NA,NA,NA,7.7,NA,NA,NA,NA,NA
nep.fu.25,2019,12992,2201,169157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nep.fu.2627,2019,12727,2202,169158,NA,NA,NA,NA,0.16,NA,NA,NA,NA,NA
nep.fu.2829,2019,12764,2203,169159,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
nep.fu.3-4,2020,14583,2448,169165,NA,NA,NA,NA,7.9,NA,NA,NA,NA,NA
nep.fu.30,2020,13944,2444,169160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nep.fu.31,2019,12923,2205,169161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nep.fu.32,2020,13974,2446,169162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nep.fu.33,2020,14006,2447,169163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nep.fu.34,2020,13995,2632,169164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nep.fu.5,2020,14010,2449,169166,NA,NA,NA,NA,7.5,NA,NA,NA,NA,NA
nep.fu.6,2020,13968,2450,169167,NA,NA,NA,NA,8.12,858,NA,NA,NA,NA
nep.fu.7,2020,13969,2451,169168,NA,NA,NA,NA,7.5,2.767,NA,NA,NA,NA
nep.fu.8,2020,13970,2452,169169,NA,NA,NA,NA,16.3,292,NA,NA,NA,NA
nep.fu.9,2020,13971,2453,169170,NA,NA,NA,NA,11.8,262,NA,NA,NA,NA
nop.27.3a4,2020,13954,2550,169174,NA,NA,69736,42573,NA,NA,NA,NA,0,NA
nop.27.6a,2018,9884,1720,169175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ory.27.nea,2020,13446,2455,169176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pil.27.7,2019,13283,2347,194229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pil.27.8abd,2020,14049,2607,194230,0.757,0.539,78700,56300,0.453,78700,NA,NA,0,NA
pil.27.8c9a,2020,13729,2605,169255,0.156,0.118,252523,196334,0.032,252523,NA,NA,0,NA
ple.27.21-23,2020,13700,2494,169180,1,0.74,4730,3635,0.31,4730,NA,NA,1,NA
ple.27.24-32,2020,13395,2495,169181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ple.27.420,2020,13484,2612,169189,0.516,0.369,290203,207288,0.21,564599,NA,NA,1,NA
ple.27.420,2020,14396,2612,169189,0.516,0.369,290203,207288,0.21,564599,NA,NA,1,NA
ple.27.7a,2020,13576,2622,169188,0.495,0.355,5294,3958,0.196,8757,NA,NA,1,NA
ple.27.7bc,2020,13550,2496,169182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ple.27.7d,2020,13744,2500,169186,0.5,0.36,25826,18448,0.25,25826,NA,NA,1,NA
ple.27.7e,2020,13480,2501,169187,1.77875699248576,1.27342830143867,0.668604689971897,0.477574778551355,0.481072913876831,0.668604689971897,NA,NA,2,NA
ple.27.7fg,2020,13758,2499,169185,NA,NA,NA,NA,1,0.5,NA,NA,NA,NA
ple.27.7h-k,2019,13005,2146,169183,0.58354782250592,0.414907855451457,1.7433497149597,1.25456850796147,0.349325646041388,1.7433497149597,NA,NA,4,NA
ple.27.89a,2019,12641,2147,169184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pok.27.1-2,2020,13697,2429,169238,0.58,0.35,220000,136000,NA,NA,NA,NA,3,NA
pok.27.3a46,2020,13511,2428,169237,0.62,0.446,149098,107297,0.363,149098,NA,NA,3,NA
pok.27.5a,2019,12988,2250,169240,NA,NA,NA,44000,NA,NA,NA,NA,3,NA
pok.27.5b,2020,14029,2640,169239,0.7,0.3,41400,29571,0.3,41400,NA,NA,3,NA
pol.27.3a4,2018,9563,1666,169192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pol.27.67,2020,13591,2399,169191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pol.27.89a,2019,12993,2158,169190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
