StockKeyLabel,EcoRegion,SpeciesCommonName,ExpertGroup,DataCategory,YearOfLastAssessment,AssessmentFrequency,AdviceCategory,AssessmentKey,icon,doi,FO_doi,group_url,SAG_url,visa_url
ane.27.8,Bay of Biscay and the Iberian Coast Ecoregion,Anchovy,WGHANSA,1,2016,1,MP,9266,<img src='ane-bisc_pic.png' height=40>,<a href='not_available' target='_blank'><img src= 'pdf-file.png' height= '30px'/></a>,<a href='' target='_blank'><img src= 'seafood.png' height= '30px'/></a>,<a href='https://www.ices.dk/community/groups/Pages/WGHANSA.aspx' target='_blank'>WGHANSA</a>,<a href='https://standardgraphs.ices.dk/ViewCharts.aspx?key=9266' target='_blank'><img src= 'database.png' height= '30px'/></a>,<a href='https://gis.ices.dk/sf/index.html?widget=visa&assessmentKey=9266' target='_blank'><img src= 'map.png' height= '30px'/></a>
ane.27.8,Oceanic Northeast Atlantic Ecoregion,Anchovy,WGHANSA,1,2016,1,MP,9266,<img src='ane-bisc_pic.png' height=40>,<a href='not_available' target='_blank'><img src= 'pdf-file.png' height= '30px'/></a>,<a href='' target='_blank'><img src= 'seafood.png' height= '30px'/></a>,<a href='https://www.ices.dk/community/groups/Pages/WGHANSA.aspx' target='_blank'>WGHANSA</a>,<a href='https://standardgraphs.ices.dk/ViewCharts.aspx?key=9266' target='_blank'><img src= 'database.png' height= '30px'/></a>,<a href='https://gis.ices.dk/sf/index.html?widget=visa&assessmentKey=9266' target='_blank'><img src= 'map.png' height= '30px'/></a>
had.27.1-2,Arctic Ocean Ecoregion,Haddock,AFWG,1,2017,1,MP,8428,<img src='had-7b-k_pic.png' height=40>,<a href='https://doi.org/10.17895/ices.pub.3117' target='_blank'><img src= 'pdf-file.png' height= '30px'/></a>,<a href='not_available' target='_blank'><img src= 'seafood.png' height= '30px'/></a>,<a href='https://www.ices.dk/community/groups/Pages/AFWG.aspx' target='_blank'>AFWG</a>,<a href='https://standardgraphs.ices.dk/ViewCharts.aspx?key=8428' target='_blank'><img src= 'database.png' height= '30px'/></a>,<a href='https://gis.ices.dk/sf/index.html?widget=visa&assessmentKey=8428' target='_blank'><img src= 'map.png' height= '30px'/></a>
had.27.1-2,Barents Sea Ecoregion,Haddock,AFWG,1,2017,1,MP,8428,<img src='had-7b-k_pic.png' height=40>,<a href='https://doi.org/10.17895/ices.pub.3117' target='_blank'><img src= 'pdf-file.png' height= '30px'/></a>,<a href='not_available' target='_blank'><img src= 'seafood.png' height= '30px'/></a>,<a href='https://www.ices.dk/community/groups/Pages/AFWG.aspx' target='_blank'>AFWG</a>,<a href='https://standardgraphs.ices.dk/ViewCharts.aspx?key=8428' target='_blank'><img src= 'database.png' height= '30px'/></a>,<a href='https://gis.ices.dk/sf/index.html?widget=visa&assessmentKey=8428' target='_blank'><img src= 'map.png' height= '30px'/></a>
had.27.1-2,Faroes Ecoregion,Haddock,AFWG,1,2017,1,MP,8428,<img src='had-7b-k_pic.png' height=40>,<a href='https://doi.org/10.17895/ices.pub.3117' target='_blank'><img src= 'pdf-file.png' height= '30px'/></a>,<a href='not_available' target='_blank'><img src= 'seafood.png' height= '30px'/></a>,<a href='https://www.ices.dk/community/groups/Pages/AFWG.aspx' target='_blank'>AFWG</a>,<a href='https://standardgraphs.ices.dk/ViewCharts.aspx?key=8428' target='_blank'><img src= 'database.png' height= '30px'/></a>,<a href='https://gis.ices.dk/sf/index.html?widget=visa&assessmentKey=8428' target='_blank'><img src= 'map.png' height= '30px'/></a>
had.27.1-2,Greenland Sea Ecoregion,Haddock,AFWG,1,2017,1,MP,8428,<img src='had-7b-k_pic.png' height=40>,<a href='https://doi.org/10.17895/ices.pub.3117' target='_blank'><img src= 'pdf-file.png' height= '30px'/></a>,<a href='not_available' target='_blank'><img src= 'seafood.png' height= '30px'/></a>,<a href='https://www.ices.dk/community/groups/Pages/AFWG.aspx' target='_blank'>AFWG</a>,<a href='https://standardgraphs.ices.dk/ViewCharts.aspx?key=8428' target='_blank'><img src= 'database.png' height= '30px'/></a>,<a href='https://gis.ices.dk/sf/index.html?widget=visa&assessmentKey=8428' target='_blank'><img src= 'map.png' height= '30px'/></a>
had.27.1-2,Iceland Sea Ecoregion,Haddock,AFWG,1,2017,1,MP,8428,<img src='had-7b-k_pic.png' height=40>,<a href='https://doi.org/10.17895/ices.pub.3117' target='_blank'><img src= 'pdf-file.png' height= '30px'/></a>,<a href='not_available' target='_blank'><img src= 'seafood.png' height= '30px'/></a>,<a href='https://www.ices.dk/community/groups/Pages/AFWG.aspx' target='_blank'>AFWG</a>,<a href='https://standardgraphs.ices.dk/ViewCharts.aspx?key=8428' target='_blank'><img src= 'database.png' height= '30px'/></a>,<a href='https://gis.ices.dk/sf/index.html?widget=visa&assessmentKey=8428' target='_blank'><img src= 'map.png' height= '30px'/></a>
had.27.1-2,Norwegian Sea Ecoregion,Haddock,AFWG,1,2017,1,MP,8428,<img src='had-7b-k_pic.png' height=40>,<a href='https://doi.org/10.17895/ices.pub.3117' target='_blank'><img src= 'pdf-file.png' height= '30px'/></a>,<a href='not_available' target='_blank'><img src= 'seafood.png' height= '30px'/></a>,<a href='https://www.ices.dk/community/groups/Pages/AFWG.aspx' target='_blank'>AFWG</a>,<a href='https://standardgraphs.ices.dk/ViewCharts.aspx?key=8428' target='_blank'><img src= 'database.png' height= '30px'/></a>,<a href='https://gis.ices.dk/sf/index.html?widget=visa&assessmentKey=8428' target='_blank'><img src= 'map.png' height= '30px'/></a>
pok.27.5a,Greenland Sea Ecoregion,Saithe,NWWG,1,2017,1,MP,8653,<img src='pok-.png' height=40>,<a href='https://doi.org/10.17895/ices.pub.3207' target='_blank'><img src= 'pdf-file.png' height= '30px'/></a>,<a href='not_available' target='_blank'><img src= 'seafood.png' height= '30px'/></a>,<a href='https://www.ices.dk/community/groups/Pages/NWWG.aspx' target='_blank'>NWWG</a>,<a href='https://standardgraphs.ices.dk/ViewCharts.aspx?key=8653' target='_blank'><img src= 'database.png' height= '30px'/></a>,<a href='https://gis.ices.dk/sf/index.html?widget=visa&assessmentKey=8653' target='_blank'><img src= 'map.png' height= '30px'/></a>
pok.27.5a,Iceland Sea Ecoregion,Saithe,NWWG,1,2017,1,MP,8653,<img src='pok-.png' height=40>,<a href='https://doi.org/10.17895/ices.pub.3207' target='_blank'><img src= 'pdf-file.png' height= '30px'/></a>,<a href='not_available' target='_blank'><img src= 'seafood.png' height= '30px'/></a>,<a href='https://www.ices.dk/community/groups/Pages/NWWG.aspx' target='_blank'>NWWG</a>,<a href='https://standardgraphs.ices.dk/ViewCharts.aspx?key=8653' target='_blank'><img src= 'database.png' height= '30px'/></a>,<a href='https://gis.ices.dk/sf/index.html?widget=visa&assessmentKey=8653' target='_blank'><img src= 'map.png' height= '30px'/></a>
