"fishstock","AssessmentYear","Year","recruitment","high_recruitment","low_recruitment","low_SSB","SSB","high_SSB","catches","landings","discards","low_F","F","high_F","StockPublishNote","Purpose","Fage","recruitment_age","units","stockSizeDescription","stockSizeUnits","fishingPressureDescription","fishingPressureUnits","AssessmentKey","StockDescription","ModifiedDate","SAGStamp","LinkToAdvice"
"ank.27.78abd",2023,1986,130283,178850,94904,16088,20449,25991,NA,8217,NA,0.131,0.197,0.296,"Stock published","Advice","3-10",0,"tonnes","Combined-sex SSB","tonnes",NA,NA,18169,"Black-bellied anglerfish (Lophius budegassa) in Subarea 7 and divisions 8.a-b and 8.d (Celtic Seas, Bay of Biscay)","29/09/2023 01:05:01","ank.27.78abd_2023_18169_2023929010501","https://doi.org/10.17895/ices.advice.21840711.v1"
"ank.27.78abd",2023,1987,78962,119912,51997,15228,19285,24421,NA,7620,NA,0.115,0.174,0.263,"Stock published","Advice","3-10",0,"tonnes","Combined-sex SSB","tonnes",NA,NA,18169,"Black-bellied anglerfish (Lophius budegassa) in Subarea 7 and divisions 8.a-b and 8.d (Celtic Seas, Bay of Biscay)","29/09/2023 01:05:01","ank.27.78abd_2023_18169_2023929010501","https://doi.org/10.17895/ices.advice.21840711.v1"
"ank.27.78abd",2023,1988,92922,132028,65400,15185,19082,23980,NA,8382,NA,0.124,0.187,0.282,"Stock published","Advice","3-10",0,"tonnes","Combined-sex SSB","tonnes",NA,NA,18169,"Black-bellied anglerfish (Lophius budegassa) in Subarea 7 and divisions 8.a-b and 8.d (Celtic Seas, Bay of Biscay)","29/09/2023 01:05:01","ank.27.78abd_2023_18169_2023929010501","https://doi.org/10.17895/ices.advice.21840711.v1"
"ank.27.78abd",2023,1989,107520,148231,77990,15295,19050,23727,NA,8820,NA,0.135,0.203,0.305,"Stock published","Advice","3-10",0,"tonnes","Combined-sex SSB","tonnes",NA,NA,18169,"Black-bellied anglerfish (Lophius budegassa) in Subarea 7 and divisions 8.a-b and 8.d (Celtic Seas, Bay of Biscay)","29/09/2023 01:05:01","ank.27.78abd_2023_18169_2023929010501","https://doi.org/10.17895/ices.advice.21840711.v1"
"ank.27.78abd",2023,1990,90312,128792,63328,15306,18931,23414,NA,9632,NA,0.157,0.234,0.349,"Stock published","Advice","3-10",0,"tonnes","Combined-sex SSB","tonnes",NA,NA,18169,"Black-bellied anglerfish (Lophius budegassa) in Subarea 7 and divisions 8.a-b and 8.d (Celtic Seas, Bay of Biscay)","29/09/2023 01:05:01","ank.27.78abd_2023_18169_2023929010501","https://doi.org/10.17895/ices.advice.21840711.v1"
"ank.27.78abd",2023,1991,110039,151260,80052,14639,18044,22242,NA,8780,NA,0.153,0.229,0.341,"Stock published","Advice","3-10",0,"tonnes","Combined-sex SSB","tonnes",NA,NA,18169,"Black-bellied anglerfish (Lophius budegassa) in Subarea 7 and divisions 8.a-b and 8.d (Celtic Seas, Bay of Biscay)","29/09/2023 01:05:01","ank.27.78abd_2023_18169_2023929010501","https://doi.org/10.17895/ices.advice.21840711.v1"
"ank.27.78abd",2023,1992,120105,163438,88261,13690,16889,20835,NA,8176,NA,0.151,0.225,0.335,"Stock published","Advice","3-10",0,"tonnes","Combined-sex SSB","tonnes",NA,NA,18169,"Black-bellied anglerfish (Lophius budegassa) in Subarea 7 and divisions 8.a-b and 8.d (Celtic Seas, Bay of Biscay)","29/09/2023 01:05:01","ank.27.78abd_2023_18169_2023929010501","https://doi.org/10.17895/ices.advice.21840711.v1"
"ank.27.78abd",2023,1993,130608,175180,97377,12647,15633,19324,NA,6566,NA,0.121,0.182,0.272,"Stock published","Advice","3-10",0,"tonnes","Combined-sex SSB","tonnes",NA,NA,18169,"Black-bellied anglerfish (Lophius budegassa) in Subarea 7 and divisions 8.a-b and 8.d (Celtic Seas, Bay of Biscay)","29/09/2023 01:05:01","ank.27.78abd_2023_18169_2023929010501","https://doi.org/10.17895/ices.advice.21840711.v1"
"ank.27.78abd",2023,1994,70640,106760,46740,12243,15142,18727,NA,5744,NA,0.1,0.151,0.227,"Stock published","Advice","3-10",0,"tonnes","Combined-sex SSB","tonnes",NA,NA,18169,"Black-bellied anglerfish (Lophius budegassa) in Subarea 7 and divisions 8.a-b and 8.d (Celtic Seas, Bay of Biscay)","29/09/2023 01:05:01","ank.27.78abd_2023_18169_2023929010501","https://doi.org/10.17895/ices.advice.21840711.v1"
"ank.27.78abd",2023,1995,93827,131074,67165,12457,15359,18937,NA,6954,NA,0.114,0.171,0.256,"Stock published","Advice","3-10",0,"tonnes","Combined-sex SSB","tonnes",NA,NA,18169,"Black-bellied anglerfish (Lophius budegassa) in Subarea 7 and divisions 8.a-b and 8.d (Celtic Seas, Bay of Biscay)","29/09/2023 01:05:01","ank.27.78abd_2023_18169_2023929010501","https://doi.org/10.17895/ices.advice.21840711.v1"
