StockKeyLabel,AssessmentYear,AssessmentKey,StockDatabaseID,StockKey,Blim,RecruitmentAge,FAge,Bpa,RecruitmentLength,FLim,FMSY,MSYBtrigger,Fpa,Fmanagement,Bmanagement,FLength,Fcap,ConfidenceIntervalDefinition
her.27.6a7bc,2021,14099,2676,169120,,1,3-6,,,,,,,,,,,95%
her.27.irls,2021,14087,2675,169121,34000,1,2-5,54000,,0.45,0.26,54000,0.26,,,,,95%
her.27.nirs,2021,14091,2859,169122,8500,1,4-6,11831,,0.397,0.266,11831,0.309,,,,,95%
hke.27.3a46-8abd,2021,14566,2738,169126,40000,0,,56000,,,0.26,56000,1.02,0.26,56000,15-80 cm,,2*sd
hke.27.8c9a,2021,14459,2892,169127,,,,,,,,,,,,,,0.95
hom.27.2a4a5b6a7a-ce-k8,2021,16773,2755,169130,834480,0,1-10,1168272,,0.103,0.074,1168272,0.079,,,,,95%
hom.27.3a4bc7d,2021,16767,2754,169128,,,,,,,,,,,,,,95%
hom.27.9a,2021,15610,2848,169129,103000,0,2-10,181000,,0.19,0.15,181000,0.15,,,,,0.95
ldb.27.7b-k8abd,2021,14512,2922,169785,,,,,,,,,,,,,,NA
ldb.27.8c9a,2021,16698,2748,169140,3300,0,,4600,,,0.193,4600,0.58,,,,,na
lem.27.3a47d,2021,14370,2721,169132,,1,3-5,,,,,,,,,,,90%
lez.27.4a6a,2021,14538,2872,169138,0.3,,,0.5,,,1,0.5,,,,,,95%
lez.27.6b,2021,16879,2873,169139,0.3,,,,,1.7,1,0.5,,,,,,95%
lin.27.1-2,2021,14347,2828,169133,,,,,,,,,,,,,,95%
lin.27.346-91214,2021,14398,2829,169136,,,,,,,,,,,,,,95%
lin.27.5a,2021,14415,2711,169135,7090,3,11,9930,,0.7,0.28,9930,0.41,,9930,,,NA
lin.27.5b,2021,14203,2841,169134,9340,3,6-10,11627,,0.85,0.23,11627,0.6,,,,,95%
mac.27.nea,2021,16735,2687,169137,2000000,0,4-8,2580000,,0.46,0.26,2580000,0.36,,,,,95%
meg.27.7b-k8abd,2021,16699,2689,169141,37100,1,3-6,41800,,0.53,0.191,41800,0.417,0.191,,,,95%
meg.27.8c9a,2021,16769,2747,169142,700,1,2-4,980,,0.45,0.191,980,0.32,,,,,na
mon.27.78abd,2021,16700,2926,195876,16032,0,3-6,22278,,0.53,0.28,22278,0.39,0.28,22278,,,sd
mon.27.8c9a,2021,14510,2882,169056,1993,0,,2769,,,0.24,6283,0.87,0.24,6283,30-130 cm,,0.95
mur.27.3a47d,2021,14248,2918,169143,,,,,,,,,,,,,,NA
nep.fu.11,2021,16795,2845,169146,,,,,,,10.8,540,,,,,,2*sd
nep.fu.12,2021,16859,2846,169147,,,,,,,11.7,1020,,,,,,2*sd
nep.fu.13,2021,16860,2847,169148,,,,,,,15.1,580,,,,,,2*sd
nep.fu.14,2021,16852,2684,169149,,,,,,,11,350,,11,350,,,95%
nep.fu.15,2021,16863,2884,169150,,,,,,,18.2,3000,,,,,,95%
nep.fu.16,2021,16831,2722,169151,,,,,,,6.2,,,,,,,95%
nep.fu.17,2021,16791,2811,169152,,,,,,,8.5,540,,,,,,95%
nep.fu.19,2021,16834,2812,169153,,,,,,,9.3,430,,,,,,95%
nep.fu.19,2021,17311,2812,169153,,,,,,,9.3,430,,,,,,95%
nep.fu.2021,2021,16789,2905,169154,,,,,,,6,450,,,,,,95%
nep.fu.22,2021,16794,2810,169155,,,,,,,12.8,990,,,,,,95%
nep.fu.2324,2021,16875,2904,169156,,,,,,,7.7,,,,,,,95%
nep.fu.25,2021,14458,2915,169157,0.3,,,,,1.7,1,0.5,,,,,,95%
nep.fu.2627,2021,15630,2731,169158,0.3,,,,,1.7,1,0.5,,,,,,95%
nep.fu.2829,2021,14418,2732,169159,,,,,,,0.23,,,,,,,95%
nep.fu.3-4,2021,15601,2861,169165,,,,,,,7.9,,,,,,,95%
nep.fu.30,2021,16874,2916,169160,,,,,,,,,,,,,,0.95
